id,category,subcategory,common_name_en,common_name_th,scientific_name,origin_region,typical_size_cm,lifespan_years,diet,habitat,activity_pattern,temperament,handling_level,care_level,beginner_friendly,recommended_enclosure,temperature_c_range,humidity_percent_range,social_needs,legal_status_hint_th,legal_class_source_th,wildlife_law_category_th,possession_status_th,possession_requirement_th,breeding_status_th,trade_status_th,import_export_status_th,release_status_th,animal_welfare_status_th,legal_note_th,danger_level,venomous_or_toxic,estimated_price_range_thb,reference_primary_source,reference_primary_url,reference_secondary_source,reference_secondary_url,reference_legal_source,reference_legal_url,data_confidence,review_status,source_scope_note
EXO001,Reptile,Snake,Ball Python,บอลไพธอน,Python regius,Africa,120,25,carnivore,terrestrial,nocturnal,calm,low,easy,yes,90x45x45 cm terrarium,28-32,50-70,solitary,ต้องตรวจสอบสถานะรายชนิดจากชื่อวิทยาศาสตร์ก่อนครอบครอง ค้า เพาะพันธุ์ หรือนำเข้า-ส่งออก และผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ตามกฎหมาย,พ.ร.บ. สงวนและคุ้มครองสัตว์ป่า พ.ศ. 2562; พ.ร.บ. ป้องกันการทารุณกรรมและการจัดสวัสดิภาพสัตว์ พ.ศ. 2557,ต้องตรวจสอบประกาศรายชนิดเพิ่มเติม,ต้องตรวจสอบรายชนิดเพิ่มเติม,ต้องตรวจสอบว่าต้องแจ้งการครอบครองหรือขอใบอนุญาตหรือไม่,ต้องตรวจสอบประกาศเพิ่มเติม,ต้องตรวจสอบประกาศเพิ่มเติม,ต้องตรวจสอบรายชนิดเพิ่มเติม,ไม่ควรปล่อย,ผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ให้เหมาะสมและห้ามทารุณกรรมสัตว์,ต้องตรวจสอบสถานะรายชนิดจากชื่อวิทยาศาสตร์ก่อนครอบครอง ค้า เพาะพันธุ์ หรือนำเข้า-ส่งออก และผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ตามกฎหมาย,low,no,2500-12000,Reptile Database,https://reptile-database.reptarium.cz/,IUCN Red List; CITES Checklist,https://www.iucnredlist.org/ | https://checklist.cites.org/,Thailand Wildlife Preservation and Protection Act B.E. 2562 (uploaded PDF); Thailand Animal Welfare Act B.E. 2557 (uploaded PDF),uploaded:ACT_WILD-ANIMAL_2562.pdf | uploaded:law87.pdf | https://checklist.cites.org/,medium,legacy-row-needs-source-backfill,"Legacy row retained from the original dataset. Category-level taxonomy and legal reference sources have been added, but row-level husbandry and pricing sources should still be backfilled before production use."
EXO002,Reptile,Snake,Reticulated Python,งูเหลือมตาข่าย,Malayopython reticulatus,Southeast Asia,500,20,carnivore,terrestrial,nocturnal,powerful,high,hard,no,large custom enclosure,28-32,60-80,solitary,ต้องตรวจสอบสถานะรายชนิดจากชื่อวิทยาศาสตร์ก่อนครอบครอง ค้า เพาะพันธุ์ หรือนำเข้า-ส่งออก และผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ตามกฎหมาย,พ.ร.บ. สงวนและคุ้มครองสัตว์ป่า พ.ศ. 2562; พ.ร.บ. ป้องกันการทารุณกรรมและการจัดสวัสดิภาพสัตว์ พ.ศ. 2557,ต้องตรวจสอบประกาศรายชนิดเพิ่มเติม,ต้องตรวจสอบรายชนิดเพิ่มเติม,ต้องตรวจสอบว่าต้องแจ้งการครอบครองหรือขอใบอนุญาตหรือไม่,ต้องตรวจสอบประกาศเพิ่มเติม,ต้องตรวจสอบประกาศเพิ่มเติม,ต้องตรวจสอบรายชนิดเพิ่มเติม,ไม่ควรปล่อย,ผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ให้เหมาะสมและห้ามทารุณกรรมสัตว์,ต้องตรวจสอบสถานะรายชนิดจากชื่อวิทยาศาสตร์ก่อนครอบครอง ค้า เพาะพันธุ์ หรือนำเข้า-ส่งออก และผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ตามกฎหมาย,high,no,8000-50000,Reptile Database,https://reptile-database.reptarium.cz/,IUCN Red List; CITES Checklist,https://www.iucnredlist.org/ | https://checklist.cites.org/,Thailand Wildlife Preservation and Protection Act B.E. 2562 (uploaded PDF); Thailand Animal Welfare Act B.E. 2557 (uploaded PDF),uploaded:ACT_WILD-ANIMAL_2562.pdf | uploaded:law87.pdf | https://checklist.cites.org/,medium,legacy-row-needs-source-backfill,"Legacy row retained from the original dataset. Category-level taxonomy and legal reference sources have been added, but row-level husbandry and pricing sources should still be backfilled before production use."
EXO003,Reptile,Snake,Burmese Python,งูหลามพม่า,Python bivittatus,Southeast Asia,450,20,carnivore,terrestrial,nocturnal,calm but giant,medium,hard,no,large custom enclosure,28-32,55-75,solitary,ต้องตรวจสอบสถานะรายชนิดจากชื่อวิทยาศาสตร์ก่อนครอบครอง ค้า เพาะพันธุ์ หรือนำเข้า-ส่งออก และผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ตามกฎหมาย,พ.ร.บ. สงวนและคุ้มครองสัตว์ป่า พ.ศ. 2562; พ.ร.บ. ป้องกันการทารุณกรรมและการจัดสวัสดิภาพสัตว์ พ.ศ. 2557,ต้องตรวจสอบประกาศรายชนิดเพิ่มเติม,ต้องตรวจสอบรายชนิดเพิ่มเติม,ต้องตรวจสอบว่าต้องแจ้งการครอบครองหรือขอใบอนุญาตหรือไม่,ต้องตรวจสอบประกาศเพิ่มเติม,ต้องตรวจสอบประกาศเพิ่มเติม,ต้องตรวจสอบรายชนิดเพิ่มเติม,ไม่ควรปล่อย,ผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ให้เหมาะสมและห้ามทารุณกรรมสัตว์,ต้องตรวจสอบสถานะรายชนิดจากชื่อวิทยาศาสตร์ก่อนครอบครอง ค้า เพาะพันธุ์ หรือนำเข้า-ส่งออก และผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ตามกฎหมาย,high,no,5000-25000,Reptile Database,https://reptile-database.reptarium.cz/,IUCN Red List; CITES Checklist,https://www.iucnredlist.org/ | https://checklist.cites.org/,Thailand Wildlife Preservation and Protection Act B.E. 2562 (uploaded PDF); Thailand Animal Welfare Act B.E. 2557 (uploaded PDF),uploaded:ACT_WILD-ANIMAL_2562.pdf | uploaded:law87.pdf | https://checklist.cites.org/,medium,legacy-row-needs-source-backfill,"Legacy row retained from the original dataset. Category-level taxonomy and legal reference sources have been added, but row-level husbandry and pricing sources should still be backfilled before production use."
EXO004,Reptile,Snake,Blood Python,งูบลัดไพธอน,Python brongersmai,Southeast Asia,160,20,carnivore,terrestrial,nocturnal,defensive,medium,medium,no,120x60x45 cm terrarium,27-31,60-80,solitary,ต้องตรวจสอบสถานะรายชนิดจากชื่อวิทยาศาสตร์ก่อนครอบครอง ค้า เพาะพันธุ์ หรือนำเข้า-ส่งออก และผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ตามกฎหมาย,พ.ร.บ. สงวนและคุ้มครองสัตว์ป่า พ.ศ. 2562; พ.ร.บ. ป้องกันการทารุณกรรมและการจัดสวัสดิภาพสัตว์ พ.ศ. 2557,ต้องตรวจสอบประกาศรายชนิดเพิ่มเติม,ต้องตรวจสอบรายชนิดเพิ่มเติม,ต้องตรวจสอบว่าต้องแจ้งการครอบครองหรือขอใบอนุญาตหรือไม่,ต้องตรวจสอบประกาศเพิ่มเติม,ต้องตรวจสอบประกาศเพิ่มเติม,ต้องตรวจสอบรายชนิดเพิ่มเติม,ไม่ควรปล่อย,ผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ให้เหมาะสมและห้ามทารุณกรรมสัตว์,ต้องตรวจสอบสถานะรายชนิดจากชื่อวิทยาศาสตร์ก่อนครอบครอง ค้า เพาะพันธุ์ หรือนำเข้า-ส่งออก และผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ตามกฎหมาย,medium,no,4000-15000,Reptile Database,https://reptile-database.reptarium.cz/,IUCN Red List; CITES Checklist,https://www.iucnredlist.org/ | https://checklist.cites.org/,Thailand Wildlife Preservation and Protection Act B.E. 2562 (uploaded PDF); Thailand Animal Welfare Act B.E. 2557 (uploaded PDF),uploaded:ACT_WILD-ANIMAL_2562.pdf | uploaded:law87.pdf | https://checklist.cites.org/,medium,legacy-row-needs-source-backfill,"Legacy row retained from the original dataset. Category-level taxonomy and legal reference sources have been added, but row-level husbandry and pricing sources should still be backfilled before production use."
EXO005,Reptile,Snake,Rainbow Boa,งูเรนโบว์โบอา,Epicrates cenchria,South America,180,20,carnivore,terrestrial,nocturnal,calm,medium,medium,no,120x60x60 cm terrarium,27-31,70-85,solitary,ต้องตรวจสอบสถานะรายชนิดจากชื่อวิทยาศาสตร์ก่อนครอบครอง ค้า เพาะพันธุ์ หรือนำเข้า-ส่งออก และผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ตามกฎหมาย,พ.ร.บ. สงวนและคุ้มครองสัตว์ป่า พ.ศ. 2562; พ.ร.บ. ป้องกันการทารุณกรรมและการจัดสวัสดิภาพสัตว์ พ.ศ. 2557,ต้องตรวจสอบประกาศรายชนิดเพิ่มเติม,ต้องตรวจสอบรายชนิดเพิ่มเติม,ต้องตรวจสอบว่าต้องแจ้งการครอบครองหรือขอใบอนุญาตหรือไม่,ต้องตรวจสอบประกาศเพิ่มเติม,ต้องตรวจสอบประกาศเพิ่มเติม,ต้องตรวจสอบรายชนิดเพิ่มเติม,ไม่ควรปล่อย,ผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ให้เหมาะสมและห้ามทารุณกรรมสัตว์,ต้องตรวจสอบสถานะรายชนิดจากชื่อวิทยาศาสตร์ก่อนครอบครอง ค้า เพาะพันธุ์ หรือนำเข้า-ส่งออก และผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ตามกฎหมาย,medium,no,6000-18000,Reptile Database,https://reptile-database.reptarium.cz/,IUCN Red List; CITES Checklist,https://www.iucnredlist.org/ | https://checklist.cites.org/,Thailand Wildlife Preservation and Protection Act B.E. 2562 (uploaded PDF); Thailand Animal Welfare Act B.E. 2557 (uploaded PDF),uploaded:ACT_WILD-ANIMAL_2562.pdf | uploaded:law87.pdf | https://checklist.cites.org/,medium,legacy-row-needs-source-backfill,"Legacy row retained from the original dataset. Category-level taxonomy and legal reference sources have been added, but row-level husbandry and pricing sources should still be backfilled before production use."
EXO006,Reptile,Snake,Kenyan Sand Boa,งูทรายเคนยา,Eryx colubrinus,Africa,70,20,carnivore,burrowing,crepuscular,calm,low,easy,yes,75x30x30 cm terrarium,28-32,30-45,solitary,ต้องตรวจสอบสถานะรายชนิดจากชื่อวิทยาศาสตร์ก่อนครอบครอง ค้า เพาะพันธุ์ หรือนำเข้า-ส่งออก และผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ตามกฎหมาย,พ.ร.บ. สงวนและคุ้มครองสัตว์ป่า พ.ศ. 2562; พ.ร.บ. ป้องกันการทารุณกรรมและการจัดสวัสดิภาพสัตว์ พ.ศ. 2557,ต้องตรวจสอบประกาศรายชนิดเพิ่มเติม,ต้องตรวจสอบรายชนิดเพิ่มเติม,ต้องตรวจสอบว่าต้องแจ้งการครอบครองหรือขอใบอนุญาตหรือไม่,ต้องตรวจสอบประกาศเพิ่มเติม,ต้องตรวจสอบประกาศเพิ่มเติม,ต้องตรวจสอบรายชนิดเพิ่มเติม,ไม่ควรปล่อย,ผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ให้เหมาะสมและห้ามทารุณกรรมสัตว์,ต้องตรวจสอบสถานะรายชนิดจากชื่อวิทยาศาสตร์ก่อนครอบครอง ค้า เพาะพันธุ์ หรือนำเข้า-ส่งออก และผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ตามกฎหมาย,low,no,2500-9000,Reptile Database,https://reptile-database.reptarium.cz/,IUCN Red List; CITES Checklist,https://www.iucnredlist.org/ | https://checklist.cites.org/,Thailand Wildlife Preservation and Protection Act B.E. 2562 (uploaded PDF); Thailand Animal Welfare Act B.E. 2557 (uploaded PDF),uploaded:ACT_WILD-ANIMAL_2562.pdf | uploaded:law87.pdf | https://checklist.cites.org/,medium,legacy-row-needs-source-backfill,"Legacy row retained from the original dataset. Category-level taxonomy and legal reference sources have been added, but row-level husbandry and pricing sources should still be backfilled before production use."
EXO007,Reptile,Snake,Corn Snake,งูคอร์นสเนก,Pantherophis guttatus,North America,120,18,carnivore,terrestrial,crepuscular,docile,low,easy,yes,90x45x45 cm terrarium,24-29,40-60,solitary,ต้องตรวจสอบสถานะรายชนิดจากชื่อวิทยาศาสตร์ก่อนครอบครอง ค้า เพาะพันธุ์ หรือนำเข้า-ส่งออก และผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ตามกฎหมาย,พ.ร.บ. สงวนและคุ้มครองสัตว์ป่า พ.ศ. 2562; พ.ร.บ. ป้องกันการทารุณกรรมและการจัดสวัสดิภาพสัตว์ พ.ศ. 2557,ต้องตรวจสอบประกาศรายชนิดเพิ่มเติม,ต้องตรวจสอบรายชนิดเพิ่มเติม,ต้องตรวจสอบว่าต้องแจ้งการครอบครองหรือขอใบอนุญาตหรือไม่,ต้องตรวจสอบประกาศเพิ่มเติม,ต้องตรวจสอบประกาศเพิ่มเติม,ต้องตรวจสอบรายชนิดเพิ่มเติม,ไม่ควรปล่อย,ผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ให้เหมาะสมและห้ามทารุณกรรมสัตว์,ต้องตรวจสอบสถานะรายชนิดจากชื่อวิทยาศาสตร์ก่อนครอบครอง ค้า เพาะพันธุ์ หรือนำเข้า-ส่งออก และผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ตามกฎหมาย,low,no,2000-9000,Reptile Database,https://reptile-database.reptarium.cz/,IUCN Red List; CITES Checklist,https://www.iucnredlist.org/ | https://checklist.cites.org/,Thailand Wildlife Preservation and Protection Act B.E. 2562 (uploaded PDF); Thailand Animal Welfare Act B.E. 2557 (uploaded PDF),uploaded:ACT_WILD-ANIMAL_2562.pdf | uploaded:law87.pdf | https://checklist.cites.org/,medium,legacy-row-needs-source-backfill,"Legacy row retained from the original dataset. Category-level taxonomy and legal reference sources have been added, but row-level husbandry and pricing sources should still be backfilled before production use."
EXO008,Reptile,Snake,California Kingsnake,งูคิงสเนกแคลิฟอร์เนีย,Lampropeltis californiae,North America,110,18,carnivore,terrestrial,crepuscular,curious,low,easy,yes,90x45x45 cm terrarium,25-30,40-60,solitary,ต้องตรวจสอบสถานะรายชนิดจากชื่อวิทยาศาสตร์ก่อนครอบครอง ค้า เพาะพันธุ์ หรือนำเข้า-ส่งออก และผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ตามกฎหมาย,พ.ร.บ. สงวนและคุ้มครองสัตว์ป่า พ.ศ. 2562; พ.ร.บ. ป้องกันการทารุณกรรมและการจัดสวัสดิภาพสัตว์ พ.ศ. 2557,ต้องตรวจสอบประกาศรายชนิดเพิ่มเติม,ต้องตรวจสอบรายชนิดเพิ่มเติม,ต้องตรวจสอบว่าต้องแจ้งการครอบครองหรือขอใบอนุญาตหรือไม่,ต้องตรวจสอบประกาศเพิ่มเติม,ต้องตรวจสอบประกาศเพิ่มเติม,ต้องตรวจสอบรายชนิดเพิ่มเติม,ไม่ควรปล่อย,ผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ให้เหมาะสมและห้ามทารุณกรรมสัตว์,ต้องตรวจสอบสถานะรายชนิดจากชื่อวิทยาศาสตร์ก่อนครอบครอง ค้า เพาะพันธุ์ หรือนำเข้า-ส่งออก และผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ตามกฎหมาย,low,no,2500-10000,Reptile Database,https://reptile-database.reptarium.cz/,IUCN Red List; CITES Checklist,https://www.iucnredlist.org/ | https://checklist.cites.org/,Thailand Wildlife Preservation and Protection Act B.E. 2562 (uploaded PDF); Thailand Animal Welfare Act B.E. 2557 (uploaded PDF),uploaded:ACT_WILD-ANIMAL_2562.pdf | uploaded:law87.pdf | https://checklist.cites.org/,medium,legacy-row-needs-source-backfill,"Legacy row retained from the original dataset. Category-level taxonomy and legal reference sources have been added, but row-level husbandry and pricing sources should still be backfilled before production use."
EXO009,Reptile,Snake,Milk Snake,งูมิลค์สเนก,Lampropeltis triangulum,North America,100,18,carnivore,terrestrial,crepuscular,active,low,easy,yes,90x45x45 cm terrarium,24-29,40-60,solitary,ต้องตรวจสอบสถานะรายชนิดจากชื่อวิทยาศาสตร์ก่อนครอบครอง ค้า เพาะพันธุ์ หรือนำเข้า-ส่งออก และผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ตามกฎหมาย,พ.ร.บ. สงวนและคุ้มครองสัตว์ป่า พ.ศ. 2562; พ.ร.บ. ป้องกันการทารุณกรรมและการจัดสวัสดิภาพสัตว์ พ.ศ. 2557,ต้องตรวจสอบประกาศรายชนิดเพิ่มเติม,ต้องตรวจสอบรายชนิดเพิ่มเติม,ต้องตรวจสอบว่าต้องแจ้งการครอบครองหรือขอใบอนุญาตหรือไม่,ต้องตรวจสอบประกาศเพิ่มเติม,ต้องตรวจสอบประกาศเพิ่มเติม,ต้องตรวจสอบรายชนิดเพิ่มเติม,ไม่ควรปล่อย,ผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ให้เหมาะสมและห้ามทารุณกรรมสัตว์,ต้องตรวจสอบสถานะรายชนิดจากชื่อวิทยาศาสตร์ก่อนครอบครอง ค้า เพาะพันธุ์ หรือนำเข้า-ส่งออก และผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ตามกฎหมาย,low,no,2500-12000,Reptile Database,https://reptile-database.reptarium.cz/,IUCN Red List; CITES Checklist,https://www.iucnredlist.org/ | https://checklist.cites.org/,Thailand Wildlife Preservation and Protection Act B.E. 2562 (uploaded PDF); Thailand Animal Welfare Act B.E. 2557 (uploaded PDF),uploaded:ACT_WILD-ANIMAL_2562.pdf | uploaded:law87.pdf | https://checklist.cites.org/,medium,legacy-row-needs-source-backfill,"Legacy row retained from the original dataset. Category-level taxonomy and legal reference sources have been added, but row-level husbandry and pricing sources should still be backfilled before production use."
EXO010,Reptile,Snake,Western Hognose Snake,งูฮอกโนส,Heterodon nasicus,North America,70,15,carnivore,terrestrial,diurnal,dramatic,low,easy,yes,75x30x30 cm terrarium,26-31,30-50,solitary,ต้องตรวจสอบสถานะรายชนิดจากชื่อวิทยาศาสตร์ก่อนครอบครอง ค้า เพาะพันธุ์ หรือนำเข้า-ส่งออก และผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ตามกฎหมาย,พ.ร.บ. สงวนและคุ้มครองสัตว์ป่า พ.ศ. 2562; พ.ร.บ. ป้องกันการทารุณกรรมและการจัดสวัสดิภาพสัตว์ พ.ศ. 2557,ต้องตรวจสอบประกาศรายชนิดเพิ่มเติม,ต้องตรวจสอบรายชนิดเพิ่มเติม,ต้องตรวจสอบว่าต้องแจ้งการครอบครองหรือขอใบอนุญาตหรือไม่,ต้องตรวจสอบประกาศเพิ่มเติม,ต้องตรวจสอบประกาศเพิ่มเติม,ต้องตรวจสอบรายชนิดเพิ่มเติม,ไม่ควรปล่อย,ผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ให้เหมาะสมและห้ามทารุณกรรมสัตว์,ต้องตรวจสอบสถานะรายชนิดจากชื่อวิทยาศาสตร์ก่อนครอบครอง ค้า เพาะพันธุ์ หรือนำเข้า-ส่งออก และผู้เลี้ยงต้องจัดสวัสดิภาพสัตว์ตามกฎหมาย,low,mild-toxic,3500-15000,Reptile Database,https://reptile-database.reptarium.cz/,IUCN Red List; CITES Checklist,https://www.iucnredlist.org/ | https://checklist.cites.org/,Thailand Wildlife Preservation and Protection Act B.E. 2562 (uploaded PDF); Thailand Animal Welfare Act B.E. 2557 (uploaded PDF),uploaded:ACT_WILD-ANIMAL_2562.pdf | uploaded:law87.pdf | https://checklist.cites.org/,medium,legacy-row-needs-source-backfill,"Legacy row retained from the original dataset. Category-level taxonomy and legal reference sources have been added, but row-level husbandry and pricing sources should still be backfilled before production use."
